timestamp,user_id,query_type,table,execution_time_ms,ip_address
2024-09-24 02:58:04,user_15,UPDATE,users,138,192.168.1.42
2024-11-29 20:32:15,user_48,SELECT,orders,155,192.168.1.2
2024-09-11 05:58:25,user_97,UPDATE,products,64,192.168.1.47
2024-02-25 19:58:37,user_4,SELECT,orders,72,192.168.1.43
2024-07-17 22:41:59,user_83,UPDATE,users,1,192.168.1.13
2024-11-20 22:30:43,user_43,INSERT,products,20,192.168.1.18
2024-08-15 08:41:25,user_70,UPDATE,orders,131,192.168.1.22
2024-09-04 13:57:30,user_88,INSERT,payments,228,192.168.1.43
2024-07-03 18:14:26,user_76,DELETE,payments,8,192.168.1.7
2024-03-12 06:53:20,user_8,INSERT,payments,18,192.168.1.24
2024-11-04 19:27:32,user_74,SELECT,payments,40,192.168.1.11
2024-03-08 23:34:32,user_34,SELECT,users,46,192.168.1.40
2024-10-05 22:38:47,user_27,DELETE,users,125,192.168.1.47
2024-10-12 21:53:06,user_68,INSERT,payments,62,192.168.1.29
2024-02-20 12:27:33,user_12,SELECT,users,35,192.168.1.49
2024-09-26 07:31:27,user_43,DELETE,products,47,192.168.1.28
2024-08-14 02:12:02,user_68,UPDATE,products,1,192.168.1.2
2024-06-03 22:25:37,user_96,DELETE,orders,49,192.168.1.20
2024-03-02 02:07:04,user_92,DELETE,payments,146,192.168.1.11
2024-03-11 19:01:26,user_41,DELETE,payments,184,192.168.1.8
2024-05-22 06:08:44,user_65,SELECT,products,26,192.168.1.8
2024-11-02 16:34:02,user_59,UPDATE,payments,13,192.168.1.23
2024-01-27 20:32:57,user_11,SELECT,orders,184,192.168.1.39
2024-11-02 11:20:14,user_29,UPDATE,orders,31,192.168.1.11
2024-03-06 09:59:50,user_74,INSERT,payments,111,192.168.1.45
2024-06-11 22:50:58,user_96,SELECT,payments,59,192.168.1.50
2024-02-07 18:00:44,user_36,SELECT,orders,40,192.168.1.19
2024-05-13 18:34:06,user_96,DELETE,orders,126,192.168.1.14
2024-03-13 14:57:17,user_94,SELECT,users,11,192.168.1.39
2024-07-15 17:54:36,user_55,SELECT,orders,99,192.168.1.50
2024-05-29 05:25:30,user_99,UPDATE,users,147,192.168.1.14
2024-09-02 15:00:58,user_91,UPDATE,orders,39,192.168.1.29
2024-02-18 06:03:43,user_89,SELECT,products,34,192.168.1.11
2024-05-30 23:50:13,user_25,INSERT,payments,165,192.168.1.41
2024-11-22 16:41:15,user_74,INSERT,users,32,192.168.1.5
2024-10-02 08:04:57,user_25,INSERT,products,212,192.168.1.5
2024-08-20 00:25:26,user_48,INSERT,payments,158,192.168.1.46
2024-08-20 16:25:49,user_97,INSERT,products,71,192.168.1.42
2024-07-21 00:41:49,user_74,DELETE,orders,51,192.168.1.43
2024-06-19 18:57:32,user_62,SELECT,orders,124,192.168.1.21
2024-02-13 00:27:40,user_77,SELECT,payments,89,192.168.1.31
2024-05-19 01:18:47,user_14,INSERT,products,69,192.168.1.36
2024-07-25 04:42:07,user_61,SELECT,payments,75,192.168.1.8
2024-07-21 16:59:15,user_33,INSERT,users,6,192.168.1.16
2024-02-11 14:02:06,user_23,UPDATE,products,16,192.168.1.49
2024-04-09 10:39:46,user_4,DELETE,orders,75,192.168.1.21
2024-12-10 14:57:08,user_73,DELETE,products,190,192.168.1.38
2024-02-06 13:27:24,user_21,UPDATE,products,111,192.168.1.39
2024-11-19 14:00:44,user_31,DELETE,payments,96,192.168.1.28
2024-09-17 05:29:19,user_53,UPDATE,orders,123,192.168.1.34
2024-04-16 19:54:38,user_52,DELETE,orders,200,192.168.1.32
2024-05-01 11:55:55,user_75,SELECT,products,36,192.168.1.41
2024-07-14 01:55:36,user_31,UPDATE,payments,37,192.168.1.45
2024-08-03 07:31:11,user_92,UPDATE,products,12,192.168.1.44
2024-01-14 12:58:00,user_54,DELETE,orders,14,192.168.1.16
2024-11-06 02:59:27,user_56,INSERT,products,57,192.168.1.26
2024-09-17 15:02:35,user_46,INSERT,orders,25,192.168.1.46
2024-01-01 09:37:46,user_5,INSERT,orders,54,192.168.1.47
2024-02-24 11:00:31,user_2,UPDATE,products,55,192.168.1.24
2024-02-23 19:35:28,user_33,SELECT,orders,119,192.168.1.42
2024-06-30 22:35:08,user_28,INSERT,payments,127,192.168.1.32
2024-07-11 06:18:17,user_10,INSERT,orders,73,192.168.1.2
2024-07-17 18:17:58,user_61,UPDATE,orders,20,192.168.1.3
2024-03-18 08:50:08,user_23,SELECT,products,73,192.168.1.50
2024-09-09 14:59:06,user_52,SELECT,orders,104,192.168.1.30
2024-03-13 00:01:16,user_10,DELETE,products,207,192.168.1.5
2024-03-29 04:40:10,user_25,DELETE,users,151,192.168.1.36
2024-02-28 21:06:10,user_96,UPDATE,products,162,192.168.1.4
2024-01-09 11:20:35,user_34,UPDATE,payments,177,192.168.1.11
2024-12-03 17:33:38,user_88,SELECT,products,75,192.168.1.17
2024-10-05 19:28:20,user_100,UPDATE,payments,66,192.168.1.24
2024-03-22 23:35:23,user_75,UPDATE,orders,24,192.168.1.2
2024-12-07 08:44:11,user_61,INSERT,orders,26,192.168.1.23
2024-11-14 12:19:09,user_14,UPDATE,orders,89,192.168.1.44
2024-12-01 05:28:40,user_40,INSERT,orders,4,192.168.1.32
2024-02-23 07:03:02,user_94,SELECT,users,0,192.168.1.15
2024-01-04 05:59:50,user_58,UPDATE,products,52,192.168.1.49
2024-02-11 00:01:05,user_26,INSERT,users,139,192.168.1.7
2024-07-23 18:17:31,user_41,UPDATE,products,44,192.168.1.28
2024-06-30 00:11:46,user_5,INSERT,payments,4,192.168.1.3
2024-01-06 11:07:49,user_98,UPDATE,products,243,192.168.1.49
2024-08-15 16:28:01,user_83,INSERT,orders,87,192.168.1.50
2024-09-29 15:45:57,user_6,DELETE,products,40,192.168.1.7
2024-07-29 03:47:42,user_31,INSERT,users,114,192.168.1.38
2024-09-04 09:48:30,user_88,INSERT,payments,40,192.168.1.49
2024-12-23 21:20:52,user_2,DELETE,payments,79,192.168.1.21
2024-12-27 14:25:15,user_65,DELETE,users,36,192.168.1.18
2024-09-15 20:15:05,user_48,UPDATE,users,33,192.168.1.41
2024-09-09 06:55:22,user_20,DELETE,payments,266,192.168.1.39
2024-10-06 03:22:11,user_28,INSERT,orders,50,192.168.1.8
2024-07-03 17:11:37,user_33,INSERT,products,90,192.168.1.42
2024-03-16 23:41:04,user_96,DELETE,products,40,192.168.1.48
2024-06-21 16:08:14,user_75,INSERT,orders,495,192.168.1.34
2024-03-07 20:30:28,user_66,SELECT,users,484,192.168.1.25
2024-08-26 09:22:35,user_95,UPDATE,payments,17,192.168.1.46
2024-03-07 14:29:24,user_16,SELECT,users,19,192.168.1.14
2024-05-08 10:03:57,user_8,SELECT,payments,153,192.168.1.24
2024-05-30 21:26:58,user_84,UPDATE,orders,95,192.168.1.18
2024-08-24 20:05:59,user_47,UPDATE,products,5,192.168.1.41
2024-10-27 23:08:07,user_51,DELETE,products,52,192.168.1.23
2024-01-07 15:50:24,user_23,UPDATE,users,3,192.168.1.49
2024-09-23 13:51:42,user_63,SELECT,orders,87,192.168.1.4
2024-12-15 17:36:17,user_68,UPDATE,users,45,192.168.1.8
2024-03-30 05:38:14,user_35,DELETE,orders,88,192.168.1.36
2024-03-12 03:08:03,user_96,UPDATE,orders,84,192.168.1.19
2024-12-17 13:01:44,user_96,DELETE,products,37,192.168.1.8
2024-06-02 12:09:56,user_68,DELETE,payments,188,192.168.1.1
2024-03-17 13:58:53,user_66,SELECT,payments,134,192.168.1.13
2024-04-21 11:01:00,user_49,DELETE,products,14,192.168.1.18
2024-01-02 11:58:55,user_52,INSERT,users,83,192.168.1.50
2024-09-25 12:41:05,user_44,UPDATE,orders,126,192.168.1.1
